订单号,商品名称,商品一级分类,订单创建时间
80225115548008300004,广西沙糖桔,应季水果,2018-02-25 11:55:48
80225115404055200008,特价,精品水果,2018-02-25 11:54:04
80225115353030000003,南美进口香蕉 斤,应季水果,2018-02-25 11:53:53
80225115353030000003,广西沙糖桔,应季水果,2018-02-25 11:53:53
80225115353030000003,甜宝草莓,应季水果,2018-02-25 11:53:53
80225114950052600004,国产红提葡萄,精品水果,2018-02-25 11:49:50
80225114824055600002,特价苹果,应季水果,2018-02-25 11:48:24
80225114824055600002,云南国产香蕉,应季水果,2018-02-25 11:48:24
80225114634099800009,广西国产香蕉,应季水果,2018-02-25 11:46:34
80225114634099800009,沙糖桔,应季水果,2018-02-25 11:46:34
80225114521046200005,翠香奇异果,应季水果,2018-02-25 11:45:21
80225114449038100007,菲律宾凤梨 斤,应季水果,2018-02-25 11:44:49
80225114449038100007,广西国产香蕉,应季水果,2018-02-25 11:44:49
80225114226012500004,甜宝草莓,应季水果,2018-02-25 11:42:26
80225114120033000007,库尔勒香梨（二级） 斤,应季水果,2018-02-25 11:41:20
80225114120033000007,广西沙糖桔,应季水果,2018-02-25 11:41:20
80225114120033000007,库尔勒香梨（特级TJ）,应季水果,2018-02-25 11:41:20
80225114118048000003,广西圣女果,应季水果,2018-02-25 11:41:18
80225114055028300002,菲律宾皇帝香蕉 （斤菲律宾）,应季水果,2018-02-25 11:40:55
80225114055028300002,甜宝草莓,应季水果,2018-02-25 11:40:55
80225113826099300008,广西沙糖桔,应季水果,2018-02-25 11:38:26
80225113826099300008,进口香蕉（都乐香蕉）,应季水果,2018-02-25 11:38:26
80225113826099300008,红绣球火龙果筐装中果,应季水果,2018-02-25 11:38:26
80225113721033900004,金帅苹果,应季水果,2018-02-25 11:37:21
80225113721033900004,皇冠梨,应季水果,2018-02-25 11:37:21
80225113535076500002,菠萝蜜,精品水果,2018-02-25 11:35:35
80225113501094900003,广西沙糖桔,应季水果,2018-02-25 11:35:01
80225113501094900003,甜宝草莓,应季水果,2018-02-25 11:35:01
80225113501094900003,海南圣女果,应季水果,2018-02-25 11:35:01
80225113322006400007,库尔勒香梨（一级）,应季水果,2018-02-25 11:33:22
80225113315069400001,海南圣女果,应季水果,2018-02-25 11:33:15
80225113315069400001,水仙芒果,应季水果,2018-02-25 11:33:15
80225113315069400001,西州蜜,应季水果,2018-02-25 11:33:15
80225113106020000002,新疆纸皮核桃,应季水果,2018-02-25 11:31:06
80225113051088800002,香蕉,应季水果,2018-02-25 11:30:51
80225112931029400001,白心火龙果小果,应季水果,2018-02-25 11:29:31
80225112931029400001,广西国产香蕉,应季水果,2018-02-25 11:29:31
80225112746042900003,沙糖桔,应季水果,2018-02-25 11:27:46
80225112742023200005,广西沙糖桔,应季水果,2018-02-25 11:27:42
80225112702066300005,国产猕猴桃,应季水果,2018-02-25 11:27:02
80225112630075800002,广西国产香蕉,应季水果,2018-02-25 11:26:30
80225112630075800002,特价,精品水果,2018-02-25 11:26:30
80225112436047300003,特价,应季水果,2018-02-25 11:24:36
80225112348035500007,甜宝草莓,应季水果,2018-02-25 11:23:48
80225112348035500007,高原红苹果,应季水果,2018-02-25 11:23:48
80225112348035500007,菠萝蜜,精品水果,2018-02-25 11:23:48
80225112251051300003,广西国产香蕉,应季水果,2018-02-25 11:22:51
80225112203015900003,红提葡萄 斤,应季水果,2018-02-25 11:22:03
80225112141086600003,广西沙糖桔,应季水果,2018-02-25 11:21:41
80225112113058100004,广西沙糖桔,应季水果,2018-02-25 11:21:13
80225111935006700004,库尔勒香梨（一级）,应季水果,2018-02-25 11:19:35
80225111935006700004,特价,应季水果,2018-02-25 11:19:35
80225111743037900001,甜宝草莓,应季水果,2018-02-25 11:17:43
80225111404093700005,盒装龙眼,精品水果,2018-02-25 11:14:04
80225111338058400005,广西沙糖桔,应季水果,2018-02-25 11:13:38
80225111338058400005,菲律宾凤梨 斤,应季水果,2018-02-25 11:13:38
80225111338058400005,广东皇帝柑,应季水果,2018-02-25 11:13:38
80225111338058400005,中华红橙,应季水果,2018-02-25 11:13:38
80225111331101200001,沙糖桔,应季水果,2018-02-25 11:13:31
80225111331101200001,沙糖桔,应季水果,2018-02-25 11:13:31
80225111244089000001,菠萝蜜,精品水果,2018-02-25 11:12:44
80225111244089000001,白心火龙果大果,应季水果,2018-02-25 11:12:44
80225111136015900007,国产红提葡萄,精品水果,2018-02-25 11:11:36
80225111043015400006,沙糖桔,应季水果,2018-02-25 11:10:43
80225110947087900011,西州蜜,应季水果,2018-02-25 11:09:47
80225110947087900011,陕西精品野生盒装猕猴桃,应季水果,2018-02-25 11:09:47
80225110907012800001,进口香蕉（都乐香蕉）,应季水果,2018-02-25 11:09:07
80225110907012800001,菠萝蜜,精品水果,2018-02-25 11:09:07
80225110714046000003,广东皇帝柑,应季水果,2018-02-25 11:07:14
80225110709051500003,海南圣女果,应季水果,2018-02-25 11:07:09
80225110709051500003,西州蜜,应季水果,2018-02-25 11:07:09
80225110533054100002,江西赣南橙,应季水果,2018-02-25 11:05:33
80225110533054100002,广西国产香蕉,应季水果,2018-02-25 11:05:33
80225110505092000001,韩国梨,应季水果,2018-02-25 11:05:05
80225110450066400001,红绣球火龙果筐装小果,应季水果,2018-02-25 11:04:50
80225110429088200002,国产红提葡萄,精品水果,2018-02-25 11:04:29
80225110412093100004,沙糖桔,应季水果,2018-02-25 11:04:12
80225110412093100004,白心火龙果大果,应季水果,2018-02-25 11:04:12
80225110310088600002,菠萝蜜,精品水果,2018-02-25 11:03:10
80225110302009900004,海南圣女果,应季水果,2018-02-25 11:03:02
80225110302009900004,特价,应季水果,2018-02-25 11:03:02
80225110257081400005,国产猕猴桃,应季水果,2018-02-25 11:02:57
80225110257081400005,水仙芒果,应季水果,2018-02-25 11:02:57
80225110257081400005,盒装龙眼,精品水果,2018-02-25 11:02:57
80225110209051500002,特价,精品水果,2018-02-25 11:02:09
80225110203076400001,黄金橙,精品水果,2018-02-25 11:02:03
80225110026097100005,新疆阿克苏苹果（整箱）,应季水果,2018-02-25 11:00:26
80225110026097100005,国产猕猴桃,应季水果,2018-02-25 11:00:26
80225110011051100007,江西赣南橙,应季水果,2018-02-25 11:00:11
80225105456017600007,干尧榴莲,应季水果,2018-02-25 10:54:56
80225105322100200012,广西沙糖桔,应季水果,2018-02-25 10:53:22
80225105313005600008,广西沙糖桔,应季水果,2018-02-25 10:53:13
80225105214077600001,东北寒富苹果,应季水果,2018-02-25 10:52:14
80225105056055500010,广西沙糖桔,应季水果,2018-02-25 10:50:56
80225105056055500010,精品富士苹果（全红）,应季水果,2018-02-25 10:50:56
80225105045061900004,广西沙糖桔,应季水果,2018-02-25 10:50:45
80225105035097000001,江西赣南橙,应季水果,2018-02-25 10:50:35
80225104825021500011,甜宝草莓,应季水果,2018-02-25 10:48:25
80225104706031000002,菠萝蜜,精品水果,2018-02-25 10:47:06
80225104647020400004,盒装龙眼,精品水果,2018-02-25 10:46:47
80225104616031800005,中华红橙,应季水果,2018-02-25 10:46:16
80225104520079900001,干尧榴莲,应季水果,2018-02-25 10:45:20
80225104229033400001,皇冠梨,应季水果,2018-02-25 10:42:29
80225104103013100001,广西国产香蕉,应季水果,2018-02-25 10:41:03
80225103834049100008,广西沙糖桔,应季水果,2018-02-25 10:38:34
80225103834049100008,广西国产香蕉,应季水果,2018-02-25 10:38:34
80225103817087200005,南美进口香蕉 斤,应季水果,2018-02-25 10:38:17
80225103817087200005,菲律宾皇帝香蕉 （斤菲律宾）,应季水果,2018-02-25 10:38:17
80225103817087200005,甜宝草莓,应季水果,2018-02-25 10:38:17
80225103702058000004,江西赣南橙,应季水果,2018-02-25 10:37:02
80225103702058000004,广西国产香蕉,应季水果,2018-02-25 10:37:02
80225103627100600009,特价,应季水果,2018-02-25 10:36:27
80225103445053200002,西州蜜,应季水果,2018-02-25 10:34:45
80225103445053200002,精品白心柚子,应季水果,2018-02-25 10:34:45
80225103351018700004,小箱沙糖桔（会员价）,精品水果,2018-02-25 10:33:51
80225103110042300001,盒装龙眼,精品水果,2018-02-25 10:31:10
80225102910068500001,甜宝草莓,应季水果,2018-02-25 10:29:10
80225102910068500001,沙糖桔,应季水果,2018-02-25 10:29:10
80225102802064900003,特价,应季水果,2018-02-25 10:28:02
80225102653015000004,特价,精品水果,2018-02-25 10:26:53
80225102653015000004,大箱牛油果,应季水果,2018-02-25 10:26:53
80225102653015000004,特价,应季水果,2018-02-25 10:26:53
80225102550046900008,广西沙糖桔,应季水果,2018-02-25 10:25:50
80225102550046900008,黄金橙,精品水果,2018-02-25 10:25:50
80225102532038400001,白心火龙果小果,应季水果,2018-02-25 10:25:32
80225102532038400001,红绣球火龙果筐装中果,应季水果,2018-02-25 10:25:32
80225102125065700003,广东皇帝柑,应季水果,2018-02-25 10:21:25
80225102033095700003,菠萝蜜,精品水果,2018-02-25 10:20:33
80225102005018000001,甜宝草莓,应季水果,2018-02-25 10:20:05
80225102005018000001,沙糖桔,应季水果,2018-02-25 10:20:05
80225101948101100002,广西国产香蕉,应季水果,2018-02-25 10:19:48
80225101948101100002,特价,精品水果,2018-02-25 10:19:48
80225101804093700005,国产红提葡萄,精品水果,2018-02-25 10:18:04
80225101804018100003,海南圣女果,应季水果,2018-02-25 10:18:04
80225101416027600002,广西国产香蕉,应季水果,2018-02-25 10:14:16
80225101344085800002,广西沙糖桔,应季水果,2018-02-25 10:13:44
80225101344085800002,特价,应季水果,2018-02-25 10:13:44
80225101323044700002,广西国产香蕉,应季水果,2018-02-25 10:13:23
80225101007024300004,广西沙糖桔,应季水果,2018-02-25 10:10:07
80225101007024300004,河北皇冠梨 河北斤,应季水果,2018-02-25 10:10:07
80225101007024300004,每日多25.3橙家庭装,精品水果,2018-02-25 10:10:07
80225100936017100002,莱阳梨,应季水果,2018-02-25 10:09:36
80225100936017100002,菠萝蜜,精品水果,2018-02-25 10:09:36
80225100711004700001,广西国产香蕉,应季水果,2018-02-25 10:07:11
80225100325058900003,海南圣女果,应季水果,2018-02-25 10:03:25
80225100325058900003,菠萝蜜,精品水果,2018-02-25 10:03:25
80225095605051900004,黑美人西瓜,应季水果,2018-02-25 09:56:05
80225095149030300003,大箱牛油果,应季水果,2018-02-25 09:51:49
80225095149030300003,比利时啤梨,精品水果,2018-02-25 09:51:49
80225094847062000004,甜宝草莓,应季水果,2018-02-25 09:48:47
80225094552072400007,广西国产香蕉,应季水果,2018-02-25 09:45:52
80225094552072400007,精品白心柚子,应季水果,2018-02-25 09:45:52
80225093618067500004,甜宝草莓,应季水果,2018-02-25 09:36:18
80225093029056400009,广西沙糖桔,应季水果,2018-02-25 09:30:29
80225091739067800003,水仙芒果,精品水果,2018-02-25 09:17:39
80225091739067800003,香蕉,应季水果,2018-02-25 09:17:39
80225091739067800003,陕西精品野生盒装猕猴桃,应季水果,2018-02-25 09:17:39
80225091647003600005,甜宝草莓,应季水果,2018-02-25 09:16:47
80225091647003600005,广西国产香蕉,应季水果,2018-02-25 09:16:47
80225091507068700002,西州蜜,应季水果,2018-02-25 09:15:07
80225091507068700002,国产红提葡萄,精品水果,2018-02-25 09:15:07
80225085934071400007,精品富士,应季水果,2018-02-25 08:59:34
80225085934071400007,海南白雪蜜瓜,应季水果,2018-02-25 08:59:34
80225085502088500001,云南国产香蕉,应季水果,2018-02-25 08:55:02
80225084623079900002,沙糖桔,应季水果,2018-02-25 08:46:23
80225084623079900002,广西国产香蕉,应季水果,2018-02-25 08:46:23
80225084623079900002,沙糖桔,应季水果,2018-02-25 08:46:23
80224214600012700002,海南白雪蜜瓜,应季水果,2018-02-24 21:46:00
80224213737056600005,海南圣女果,应季水果,2018-02-24 21:37:37
80224213737056600005,国产红提葡萄,精品水果,2018-02-24 21:37:37
80224212836040500008,新疆阿克苏苹果（整箱）,应季水果,2018-02-24 21:28:36
80224212836040500008,小台农芒果,应季水果,2018-02-24 21:28:36
80224212156040300005,澳橙,精品水果,2018-02-24 21:21:56
80224211829032200004,精品富士,应季水果,2018-02-24 21:18:29
80224211339044600002,国产猕猴桃,应季水果,2018-02-24 21:13:39
80224211339044600002,广西国产香蕉,应季水果,2018-02-24 21:13:39
80224211339044600002,西州蜜,应季水果,2018-02-24 21:13:39
80224211339044600002,沙糖桔,应季水果,2018-02-24 21:13:39
80224211143091800007,白心火龙果小果,应季水果,2018-02-24 21:11:43
80224210859012100005,甜宝草莓,应季水果,2018-02-24 21:08:59
80224210859012100005,木瓜（小箱）,应季水果,2018-02-24 21:08:59
80224210857073100001,套袋草莓,精品水果,2018-02-24 21:08:57
80224210857073100001,沙糖桔,应季水果,2018-02-24 21:08:57
80224210857073100001,精品富士苹果（全红）,应季水果,2018-02-24 21:08:57
80224210600072700003,海南圣女果,精品水果,2018-02-24 21:06:00
80224210600072700003,香蕉,应季水果,2018-02-24 21:06:00
80224210600072700003,陕西精品野生盒装猕猴桃,应季水果,2018-02-24 21:06:00
80224210600072700003,中华红橙,应季水果,2018-02-24 21:06:00
80224210349073700001,盒装龙眼,精品水果,2018-02-24 21:03:49
80224210119049600008,国产红提葡萄,精品水果,2018-02-24 21:01:19
80224205945039700005,韩国梨,应季水果,2018-02-24 20:59:45
80224205945039700005,沙糖桔,应季水果,2018-02-24 20:59:45
80224205626003600004,甜宝草莓,应季水果,2018-02-24 20:56:26
80224205437076600006,广西沙糖桔,应季水果,2018-02-24 20:54:37
80224205316062400003,香蕉,应季水果,2018-02-24 20:53:16
80224205316062400003,沙糖桔,应季水果,2018-02-24 20:53:16
80224205215082500003,广西国产香蕉,应季水果,2018-02-24 20:52:15
80224205112084800004,广东皇帝柑,应季水果,2018-02-24 20:51:12
80224204841007700003,广西沙糖桔,应季水果,2018-02-24 20:48:41
80224204841007700003,甜宝草莓,应季水果,2018-02-24 20:48:41
80224204609004100004,高原红苹果,应季水果,2018-02-24 20:46:09
80224204602028800001,甜宝草莓,应季水果,2018-02-24 20:46:02
80224204401084700004,甜宝草莓,应季水果,2018-02-24 20:44:01
80224204401084700004,粑粑柑,精品水果,2018-02-24 20:44:01
80224204240082800004,新疆若羌红枣,应季水果,2018-02-24 20:42:40
80224204240082800004,白心火龙果小果,应季水果,2018-02-24 20:42:40
80224204110064100007,红星苹果,应季水果,2018-02-24 20:41:10
80224204028006100006,沙糖桔,应季水果,2018-02-24 20:40:28
80224204010061700001,沙糖桔,应季水果,2018-02-24 20:40:10
80224203859032700004,甜宝草莓,应季水果,2018-02-24 20:38:59
80224203625087500001,每日多25.3橙家庭装,精品水果,2018-02-24 20:36:25
80224203604069400006,陕西野生猕猴桃（ 精品）,应季水果,2018-02-24 20:36:04
80224203522011500006,云南国产香蕉,应季水果,2018-02-24 20:35:22
80224203406087500007,精品富士苹果（全红）,应季水果,2018-02-24 20:34:06
80224203406087500007,高原红苹果,应季水果,2018-02-24 20:34:06
80224203305031100005,普通白心柚子,应季水果,2018-02-24 20:33:05
80224203305031100005,国产红提葡萄,精品水果,2018-02-24 20:33:05
80224203303090100003,韩国梨,应季水果,2018-02-24 20:33:03
80224203303090100003,韩国梨,应季水果,2018-02-24 20:33:03
80224203303090100003,广西国产香蕉,应季水果,2018-02-24 20:33:03
80224203242089000003,特价,应季水果,2018-02-24 20:32:42
80224202655100400008,云南国产香蕉,应季水果,2018-02-24 20:26:55
80224202655041000003,广东皇帝柑,应季水果,2018-02-24 20:26:55
80224202544029200004,新疆阿克苏冰糖心苹果,精品水果,2018-02-24 20:25:44
80224202456053200003,沙糖桔,应季水果,2018-02-24 20:24:56
80224202433092000008,广西沙糖桔,应季水果,2018-02-24 20:24:33
80224202330085000001,甜宝草莓,应季水果,2018-02-24 20:23:30
80224202152054600005,新疆阿克苏苹果（整箱）,应季水果,2018-02-24 20:21:52
80224202152054600005,广东皇帝柑,应季水果,2018-02-24 20:21:52
80224202152054600005,白心火龙果小果,应季水果,2018-02-24 20:21:52
80224202152054600005,红星苹果,应季水果,2018-02-24 20:21:52
80224202147024400003,菲律宾凤梨 斤,应季水果,2018-02-24 20:21:47
80224202147024400003,粑粑柑,精品水果,2018-02-24 20:21:47
80224202147024400003,金帅苹果,应季水果,2018-02-24 20:21:47
80224201937065200004,加拿大车厘子,精品水果,2018-02-24 20:19:37
80224201903039300005,中华红橙,应季水果,2018-02-24 20:19:03
80224201851048400003,甜宝草莓,应季水果,2018-02-24 20:18:51
80224201851048400003,泰国散装龙眼,精品水果,2018-02-24 20:18:51
80224201745011100001,甜宝草莓,应季水果,2018-02-24 20:17:45
80224201622000700002,海南圣女果,应季水果,2018-02-24 20:16:22
80224201524081300003,广西国产香蕉,应季水果,2018-02-24 20:15:24
80224201441019500006,库尔勒香梨,应季水果,2018-02-24 20:14:41
80224201441019500006,雪峰BB橙,精品水果,2018-02-24 20:14:41
80224201358062000003,广西沙糖桔,应季水果,2018-02-24 20:13:58
80224201358062000003,甜宝草莓,应季水果,2018-02-24 20:13:58
80224201032073300004,新疆阿克苏苹果（整箱）,应季水果,2018-02-24 20:10:32
80224201032073300004,沙糖桔,应季水果,2018-02-24 20:10:32
80224200944003600003,韩国梨,应季水果,2018-02-24 20:09:44
80224200937089000002,智利牛油果,应季水果,2018-02-24 20:09:37
80224200937089000002,泰国去皮小菠萝,精品水果,2018-02-24 20:09:37
80224200441057600001,广东皇帝柑,应季水果,2018-02-24 20:04:41
80224200441057600001,特价,应季水果,2018-02-24 20:04:41
80224200330096900001,广西沙糖桔,应季水果,2018-02-24 20:03:30
80224195502026700006,广西国产香蕉,应季水果,2018-02-24 19:55:02
80224195502026700006,沙糖桔,应季水果,2018-02-24 19:55:02
80224195456077600004,广西沙糖桔,应季水果,2018-02-24 19:54:56
80224195358060200003,甜宝草莓,应季水果,2018-02-24 19:53:58
80224195358060200003,白心火龙果小果,应季水果,2018-02-24 19:53:58
80224195358060200003,小台农芒果,应季水果,2018-02-24 19:53:58
80224195257005300005,沙糖桔,应季水果,2018-02-24 19:52:57
80224195257005300005,沙糖桔,应季水果,2018-02-24 19:52:57
80224195201031500002,加拿大车厘子,精品水果,2018-02-24 19:52:01
80224195201031500002,美国红蛇果,应季水果,2018-02-24 19:52:01
80224195201031500002,陕西野生猕猴桃（ 精品）,应季水果,2018-02-24 19:52:01
80224194741090900004,库尔勒香梨（二级） 斤,应季水果,2018-02-24 19:47:41
80224194741090900004,广西沙糖桔,应季水果,2018-02-24 19:47:41
80224194647012100002,甜宝草莓,应季水果,2018-02-24 19:46:47
80224194647008200001,麒麟瓜,应季水果,2018-02-24 19:46:47
80224194647008200001,海南圣女果,应季水果,2018-02-24 19:46:47
80224194647008200001,广西国产香蕉,应季水果,2018-02-24 19:46:47
80224194627015900004,海南白雪蜜瓜,应季水果,2018-02-24 19:46:27
80224194440097900004,海南圣女果,应季水果,2018-02-24 19:44:40
80224194354054500003,广西沙糖桔,应季水果,2018-02-24 19:43:54
80224194354054500003,库尔勒香梨（一级）,应季水果,2018-02-24 19:43:54
80224194354054500003,精品富士苹果（全红）,应季水果,2018-02-24 19:43:54
80224194310079900008,盒装龙眼,精品水果,2018-02-24 19:43:10
80224194310079900008,广西国产香蕉,应季水果,2018-02-24 19:43:10
80224194310079900008,沙糖桔,应季水果,2018-02-24 19:43:10
80224194043020400002,广西沙糖桔,应季水果,2018-02-24 19:40:43
80224194043020400002,广西国产香蕉,应季水果,2018-02-24 19:40:43
80224194042043100004,广西国产香蕉,应季水果,2018-02-24 19:40:42
80224194001046100004,广西国产香蕉,应季水果,2018-02-24 19:40:01
80224193946101400001,库尔勒香梨（二级） 斤,应季水果,2018-02-24 19:39:46
80224193946101400001,广东皇帝柑,应季水果,2018-02-24 19:39:46
80224193818084800004,广西金桔,应季水果,2018-02-24 19:38:18
80224193747003500004,广西沙糖桔,应季水果,2018-02-24 19:37:47
80224193633041500006,广西沙糖桔,应季水果,2018-02-24 19:36:33
80224193428032100004,国产红提葡萄,精品水果,2018-02-24 19:34:28
80224193401099000005,沙糖桔,应季水果,2018-02-24 19:34:01
80224192751048200002,广东皇帝柑,应季水果,2018-02-24 19:27:51
80224192745047200006,甜宝草莓,应季水果,2018-02-24 19:27:45
80224192745047200006,沙糖桔,应季水果,2018-02-24 19:27:45
80224192643085800004,广西国产香蕉,应季水果,2018-02-24 19:26:43
80224192643085800004,西州蜜,应季水果,2018-02-24 19:26:43
80224192635057500001,甜宝草莓,应季水果,2018-02-24 19:26:35
80224192635057500001,粑粑柑,精品水果,2018-02-24 19:26:35
80224192522059700006,沙糖桔,应季水果,2018-02-24 19:25:22
80224192522059700006,沙糖桔,应季水果,2018-02-24 19:25:22
80224192522059700006,广西国产香蕉,应季水果,2018-02-24 19:25:22
80224192522059700006,广西国产香蕉,应季水果,2018-02-24 19:25:22
80224192522059700006,广西国产香蕉,应季水果,2018-02-24 19:25:22
80224192522059700006,精品富士苹果（全红）,应季水果,2018-02-24 19:25:22
80224192519095000003,海南圣女果,应季水果,2018-02-24 19:25:19
80224192519095000003,菠萝蜜,精品水果,2018-02-24 19:25:19
80224192310003700003,甜宝草莓,应季水果,2018-02-24 19:23:10
80224192220076300003,沙糖桔,应季水果,2018-02-24 19:22:20
80224192220076300003,菠萝蜜,精品水果,2018-02-24 19:22:20
80224192147022600003,甜宝草莓,应季水果,2018-02-24 19:21:47
80224192147022600003,甜宝草莓,应季水果,2018-02-24 19:21:47
80224192147022600003,精品白心柚子,应季水果,2018-02-24 19:21:47
80224192048040300003,盒装龙眼,精品水果,2018-02-24 19:20:48
80224192041046900003,韩国梨,应季水果,2018-02-24 19:20:41
80224192025085300002,高原红苹果,应季水果,2018-02-24 19:20:25
80224191925024600001,广西沙糖桔,应季水果,2018-02-24 19:19:25
80224191925024600001,河北皇冠梨 河北斤,应季水果,2018-02-24 19:19:25
80224191816028500005,广西沙糖桔,应季水果,2018-02-24 19:18:16
80224191816028500005,甜宝草莓,应季水果,2018-02-24 19:18:16
80224191753053600003,千禧圣女果） 斤,应季水果,2018-02-24 19:17:53
80224191753053600003,广西沙糖桔,应季水果,2018-02-24 19:17:53
80224191753053600003,红绣球火龙果大果,应季水果,2018-02-24 19:17:53
80224191753053600003,甜宝草莓,应季水果,2018-02-24 19:17:53
80224191753053600003,西州蜜,应季水果,2018-02-24 19:17:53
80224191711081900001,沙糖桔,应季水果,2018-02-24 19:17:11
80224191711081900001,陕西精品野生盒装猕猴桃,应季水果,2018-02-24 19:17:11
80224191711081900001,中华红橙,应季水果,2018-02-24 19:17:11
80224191440013000003,红绣球火龙果筐装中果,应季水果,2018-02-24 19:14:40
80224191359030700001,广西沙糖桔,应季水果,2018-02-24 19:13:59
80224191359030700001,特价,精品水果,2018-02-24 19:13:59
80224191335022200002,精品白心柚子,应季水果,2018-02-24 19:13:35
80224191159085600003,库尔勒香梨（一级）,应季水果,2018-02-24 19:11:59
80224191159085600003,陕西野生猕猴桃（ 精品）,应季水果,2018-02-24 19:11:59
80224191002089700001,西州蜜,应季水果,2018-02-24 19:10:02
80224190943101700003,特价,应季水果,2018-02-24 19:09:43
80224190943101700003,沙糖桔,应季水果,2018-02-24 19:09:43
80224190909072900002,广西国产香蕉,应季水果,2018-02-24 19:09:09
80224190649061800004,套袋草莓,精品水果,2018-02-24 19:06:49
80224190649061800004,西州蜜,应季水果,2018-02-24 19:06:49
80224190649061800004,沙糖桔,应季水果,2018-02-24 19:06:49
80224190500055400002,木瓜（小箱）,应季水果,2018-02-24 19:05:00
80224190423046100002,粑粑柑,精品水果,2018-02-24 19:04:23
80224190423046100002,杨氏橙,精品水果,2018-02-24 19:04:23
80224190313080100005,库尔勒香梨（一级）,应季水果,2018-02-24 19:03:13
80224190237050200004,广西沙糖桔,应季水果,2018-02-24 19:02:37
80224190237050200004,精品富士,应季水果,2018-02-24 19:02:37
80224190044009100003,甜宝草莓,应季水果,2018-02-24 19:00:44
80224190044009100003,甜宝草莓,应季水果,2018-02-24 19:00:44
80224190016014100001,甜宝草莓,应季水果,2018-02-24 19:00:16
80224185927017600002,精品富士,应季水果,2018-02-24 18:59:27
80224185916098400001,特价,应季水果,2018-02-24 18:59:16
80224185649099900005,特价南非橙子,应季水果,2018-02-24 18:56:49
80224185516029900004,甜宝草莓,应季水果,2018-02-24 18:55:16
80224185437084900004,新疆若羌红枣,应季水果,2018-02-24 18:54:37
80224185437084900004,韩国梨,应季水果,2018-02-24 18:54:37
80224185306044200011,甜宝草莓,应季水果,2018-02-24 18:53:06
80224185302014700004,云南国产香蕉,应季水果,2018-02-24 18:53:02
80224185147095000005,甜宝草莓,应季水果,2018-02-24 18:51:47
80224185131076400004,广西国产香蕉,应季水果,2018-02-24 18:51:31
80224185131076400004,精品白心柚子,应季水果,2018-02-24 18:51:31
80224185026087700004,海南圣女果,精品水果,2018-02-24 18:50:26
80224185026087700004,香蕉,应季水果,2018-02-24 18:50:26
80224185001086700002,西州蜜,应季水果,2018-02-24 18:50:01
80224184920081200002,沙糖桔,应季水果,2018-02-24 18:49:20
80224184848084100001,高原红苹果,应季水果,2018-02-24 18:48:48
80224184820099400003,库尔勒香梨（一级）,应季水果,2018-02-24 18:48:20
80224184820099400003,西州蜜,应季水果,2018-02-24 18:48:20
80224184820099400003,皇冠梨,应季水果,2018-02-24 18:48:20
80224184809030400002,菠萝蜜,精品水果,2018-02-24 18:48:09
80224184802054100003,广西沙糖桔,应季水果,2018-02-24 18:48:02
80224184753001700001,广西国产香蕉,应季水果,2018-02-24 18:47:53
80224184753001700001,每日多25.3橙家庭装,精品水果,2018-02-24 18:47:53
80224184652079900003,广西国产香蕉,应季水果,2018-02-24 18:46:52
80224184652079900003,高原红苹果,应季水果,2018-02-24 18:46:52
80224184619003600005,甜宝草莓,应季水果,2018-02-24 18:46:19
80224184619003600005,沙糖桔,应季水果,2018-02-24 18:46:19
80224184227064600002,甜宝草莓,应季水果,2018-02-24 18:42:27
80224184019062700002,河北皇冠梨 河北斤,应季水果,2018-02-24 18:40:19
80224184019062700002,特价,应季水果,2018-02-24 18:40:19
80224184003034400002,沙糖桔,应季水果,2018-02-24 18:40:03
80224183856039800002,甜宝草莓,应季水果,2018-02-24 18:38:56
80224183730054000003,每日多25.3橙家庭装,精品水果,2018-02-24 18:37:30
80224183727017400007,广东皇帝柑,应季水果,2018-02-24 18:37:27
80224183702082300001,库尔勒香梨（特级TJ）,应季水果,2018-02-24 18:37:02
80224183657059400003,套袋草莓,精品水果,2018-02-24 18:36:57
80224183657059400003,菠萝蜜,精品水果,2018-02-24 18:36:57
80224183644087700004,延安红苹果,应季水果,2018-02-24 18:36:44
80224183644087700004,菠萝蜜,精品水果,2018-02-24 18:36:44
80224183627005900004,车厘子,精品水果,2018-02-24 18:36:27
80224183343079500005,韩国梨,应季水果,2018-02-24 18:33:43
80224183302041200002,黑美人西瓜,应季水果,2018-02-24 18:33:02
80224183127071400011,甜宝草莓,应季水果,2018-02-24 18:31:27
80224183127071400011,海南圣女果,应季水果,2018-02-24 18:31:27
80224182910096000001,麒麟瓜,应季水果,2018-02-24 18:29:10
80224182834097700002,套袋草莓,精品水果,2018-02-24 18:28:34
80224182830094800001,广西国产香蕉,应季水果,2018-02-24 18:28:30
80224182830094800001,红心火龙果,精品水果,2018-02-24 18:28:30
80224182805021400005,套袋草莓,精品水果,2018-02-24 18:28:05
80224182805021400005,沙糖桔,应季水果,2018-02-24 18:28:05
80224182801099300005,菲律宾凤梨 斤,应季水果,2018-02-24 18:28:01
80224182801099300005,甜宝草莓,应季水果,2018-02-24 18:28:01
80224182735054000002,特价苹果,应季水果,2018-02-24 18:27:35
80224182735054000002,云南国产香蕉,应季水果,2018-02-24 18:27:35
80224182701090000001,套袋草莓,精品水果,2018-02-24 18:27:01
80224182628044900003,盒装龙眼,精品水果,2018-02-24 18:26:28
80224182419028300003,广西沙糖桔,应季水果,2018-02-24 18:24:19
